iter	Passed	Remaining
0	331	331002
1	657	328051
2	965	320811
3	1317	327950
4	1559	310377
5	1865	309002
6	2165	307154
7	2447	303517
8	2790	307291
9	3067	303707
10	3367	302738
11	3682	303196
12	3915	297298
13	4199	295767
14	4466	293323
15	4781	294049
16	5111	295578
17	5303	289324
18	5601	289238
19	5813	284841
20	6166	287478
21	6453	286894
22	6779	287983
23	6985	284095
24	7233	282114
25	7483	280342
26	7769	279977
27	8171	283666
28	8482	284020
29	8737	282515
30	9032	282334
31	9317	281849
32	9573	280536
33	9931	282157
34	10273	283258
35	10648	285150
36	10973	285594
37	11247	284736
38	11537	284286
39	11667	280027
40	12009	280907
41	12244	279293
42	12463	277376
43	12802	278161
44	13177	279650
45	13492	279821
46	13810	280026
47	14112	279890
48	14402	279535
49	14739	280057
50	15076	280544
51	15287	278696
52	15659	279799
53	15940	279253
54	16322	280448
55	16701	281540
56	16996	281185
57	17339	281614
58	17712	282499
59	17983	281733
60	18399	283228
61	18610	281557
62	18876	280756
63	19246	281472
64	19472	280100
65	19812	280377
66	20010	278659
67	20377	279290
68	20724	279634
69	20997	278963
70	21355	279428
71	21725	280019
72	21990	279255
73	22167	277395
74	22435	276704
75	22600	274776
76	22908	274604
77	23213	274398
78	23521	274223
79	23843	274201
80	24205	274627
81	24512	274422
82	24817	274187
83	25108	273800
84	25464	274116
85	25830	274525
86	26234	275309
87	26594	275615
88	26856	274903
89	27276	275799
90	27481	274511
91	27725	273641
92	28004	273123
93	28216	271955
94	28664	273063
95	28865	271815
96	29171	271566
97	29426	270845
98	29800	271215
99	30162	271458
100	30426	270821
101	30635	269708
102	30960	269623
103	31337	269982
104	31520	268676
105	31860	268714
106	32024	267268
107	32429	267843
108	32619	266645
109	32898	266175
110	33184	265772
111	33546	265975
112	33755	264965
113	34049	264632
114	34226	263393
115	34562	263387
116	34921	263550
117	35127	262560
118	35297	261318
119	35505	260371
120	35874	260605
121	36218	260651
122	36600	260965
123	36719	259402
124	36967	258771
125	37090	257278
126	37345	256710
127	37642	256437
128	38050	256915
129	38329	256512
130	38696	256693
131	38907	255845
132	39210	255606
133	39519	255404
134	39896	255631
135	40119	254877
136	40374	254331
137	40650	253916
138	40915	253441
139	41096	252449
140	41397	252201
141	41658	251713
142	41951	251416
143	42167	250662
144	42543	250857
145	42807	250392
146	43208	250725
147	43473	250265
148	43717	249687
149	44121	250021
150	44391	249590
151	44724	249514
152	45093	249633
153	45301	248863
154	45547	248308
155	45750	247522
156	45916	246546
157	46233	246385
158	46520	246062
159	46902	246240
160	47090	245399
161	47396	245172
162	47581	244329
163	47917	244260
164	48283	244342
165	48661	244479
166	48953	244179
167	49289	244100
168	49538	243589
169	49809	243189
170	50053	242657
171	50310	242190
172	50515	241479
173	50676	240566
174	50883	239878
175	51062	239063
176	51306	238561
177	51622	238389
178	51830	237727
179	52075	237232
180	52248	236415
181	52540	236144
182	52718	235360
183	52911	234650
184	53053	233723
185	53287	233204
186	53524	232704
187	53687	231883
188	53862	231124
189	54242	231245
190	54464	230688
191	54638	229937
192	54957	229798
193	55286	229696
194	55457	228937
195	55624	228175
196	55790	227409
197	56091	227196
198	56282	226544
199	56455	225823
200	56698	225382
201	56949	224979
202	57241	224734
203	57625	224851
204	57784	224089
205	58002	223563
206	58221	223039
207	58344	222159
208	58512	221453
209	58746	220998
210	59025	220716
211	59208	220076
212	59395	219456
213	59614	218956
214	59909	218738
215	60072	218040
216	60340	217727
217	60693	217716
218	61051	217721
219	61445	217851
220	61663	217357
221	61788	216538
222	61942	215827
223	62144	215287
224	62316	214644
225	62469	213944
226	62584	213119
227	62847	212798
228	63085	212396
229	63253	211761
230	63506	211413
231	63658	210732
232	63831	210123
233	63953	209353
234	64146	208817
235	64396	208470
236	64554	207828
237	64859	207658
238	65043	207104
239	65456	207278
240	65661	206791
241	65827	206187
242	66205	206245
243	66539	206164
244	66795	205839
245	66997	205350
246	67152	204719
247	67340	204193
248	67516	203634
249	67644	202934
250	68024	202990
251	68147	202279
252	68409	201984
253	68540	201304
254	68662	200600
255	68789	199920
256	69069	199682
257	69219	199073
258	69470	198755
259	69700	198378
260	70017	198247
261	70238	197848
262	70402	197288
263	70547	196678
264	70732	196182
265	70846	195493
266	71004	194931
267	71229	194552
268	71399	194025
269	71559	193475
270	71825	193213
271	71949	192570
272	72133	192091
273	72526	192168
274	72835	192022
275	73190	191991
276	73454	191723
277	73752	191543
278	73940	191080
279	74157	190691
280	74399	190368
281	74563	189845
282	74777	189454
283	74983	189042
284	75188	188631
285	75564	188646
286	75942	188666
287	76371	188808
288	76639	188548
289	76904	188284
290	77124	187907
291	77253	187312
292	77472	186938
293	77608	186366
294	77774	185868
295	77925	185337
296	78165	185017
297	78344	184557
298	78684	184474
299	78893	184084
300	79027	183521
301	79171	182984
302	79301	182418
303	79444	181885
304	79829	181907
305	80159	181798
306	80289	181240
307	80403	180647
308	80623	180294
309	80779	179799
310	81041	179542
311	81232	179128
312	81398	178660
313	81668	178421
314	82050	178427
315	82304	178152
316	82424	177589
317	82689	177340
318	82825	176816
319	83112	176614
320	83447	176513
321	83812	176473
322	84180	176441
